incident_type,location,date,time,summary,disposition,interesting,month_year
Non Injury Collision,Gilman Transit Center,2/9/24,2:45 PM,"UC Shuttle Bus vs. MTS Bus, no injury or damage",Service Provided,f,Feb-24
Petty Theft,Epstein Family Amphitheater,2/9/24,2:59 PM,"Male took pastry item and $2.00 from tip box, prosecution not desired",Gone on Arrival,t,Feb-24
Petty Theft,Price Center West - The Trove,2/9/24,7:00 PM - 2:30 AM,"Secured bicycle stolen, loss $500.00",Online Report,f,Feb-24
Welfare Check,Galbraith Hall,2/9/24,3:35 PM,"Report of female who texted friend with suicidal ideations, not answering phone",Checks OK,f,Feb-24
Gas/Water/Sewer Leak,Hubbs Hall,2/9/24,3:38 PM,Odor of chlorine,Checks OK,f,Feb-24
Gas/Water/Sewer Leak,Exkart Building,2/9/24,5:08 PM,"Pipes from structure making hissing sound, odor of natural gas",Checks OK,f,Feb-24
Petty Theft - Micro Mobility Device,Trolley - Central Campus Station,2/9/24,3:00 PM - 5:30 PM,"Secured electric scooter stolen, loss $750.00",Online Report,f,Feb-24
Fire: Non-Criminal,Seventh College West Building 2,2/9/24,6:02 PM,"Food caught fire on stove inside residential apartment, causing fire to stove top, no injuries",Report Taken,f,Feb-24
Gas/Water/Sewer Leak,Mayer Hall,2/9/24,6:18 PM,"Reporting party advising that two chemicals that should not mix are in danger of mixing, no further explanation provided",Referred to Other UCSD Department - Environmental Health & Safety,t,Feb-24
Information,MTS Transit Bus,2/9/24,6:44 PM,"Tip received regarding subject being verbally assaulted by woman on bus that frequents campus, female used words like ""faggot,"" and appears to have an affiliation with school",Information Only,t,Feb-24
Citizen Contact,UCSD Police Department,2/9/24,6:46 PM,Property pick-up,Service Provided,f,Feb-24
Information,"One Miramar Street, Parking Garage",2/9/24,6:49 PM,"Audible alarm coming from fire alarm control panel, no fire",Information Only,f,Feb-24
Property Damage,Parking Lot P112,2/9/24,6:45 PM,Tree fell on several parked vehicles,Report Taken,t,Feb-24
Hazard Situation,Bonner Hall,2/9/24,6:53 PM,Tree fell on several vehicles,Information Only,t,Feb-24
Animal Call,Israni Biomedical Research Facility,2/9/24,7:56 PM,"Small dog locked inside vehicle, barking and has no water",Service Provided,t,Feb-24
Fire Alarm,Seventh College West Building 1,2/9/24,9:42 PM,"No fire, burnt food",Referred to Other Agency - San Diego Fire Department,f,Feb-24
Found Property,York Hall,2/9/24,11:38 PM,Custodian found laptop inside 2nd floor men's restroom,Information Only,t,Feb-24
Grand Theft,Student Business Services,2/9/24,Unknown,"Unknown suspect(s) stole a commercial carpet extractor from inside custodian closet, loss $3,000.00",Report Taken,t,Feb-24
Information,Unknown Location,5/8/24,7:14 PM,"Unknown caller advised group of unknown individuals will be ""laying siege"" and inviting parents to the ""New Jewish Community Center,"" stated group would then lock doors and cut power/gas to building, refused to disclose source of information",Information Only,t,May-24
Citizen Flagdown,Theatre District Drive,5/8/24,8:25 PM,Regarding possible injured coyote in area,Checks OK,t,May-24
Petty Theft,Geisel Library,5/8/24,3:30 PM - 6:30 PM,"Secured electric scooter stolen, loss $700.00",Report Taken,f,May-24
Noise Disturbance,Cresta,5/8/24,9:45 PM,Loud drumming inside the apartment,Referred to Student Conduct,f,May-24
Citizen Contact,Douglas Apartments,5/8/24,11:13 PM,Residents possibly threw water down from apartment,Checks OK,f,May-24
Found Property,"Housing, Dining & Hospitality Services",5/9/24,12:37 AM,Pallet found in loading dock,Service Provided,f,May-24
Found Property,Neighborhood - NTPLL,5/9/24,1:16 AM,Multiple pallets located,Referred to Other UCSD Department - Central Plant,f,May-24
Warrant Arrest/ Obstruct-Resist Public Peace Officer/ Appropriate Lost Property/ Stay Away Order Issuance,Trolley - La Jolla Health,5/9/24,1:37 AM,Non-affiliate male originally contacted for having a shopping cart on campus,Closed By Adult Arrest,f,May-24
Minor Injury Collision,Otterson Hall,5/9/24,8:01 AM - 8:05 AM,UC owned vehicle vs Electric scooter,Report Taken,f,May-24
Non-Student: Refuse to Leave Campus,Price Center East,5/9/24,12:53 PM - 1:13 PM,Non-affiliate male contacted for causing a disturbance inside location,Closed By Adult Arrest,f,May-24
Welfare Check,La Jolla Village Drive,5/9/24,3:19 PM,Passerby saw unhoused subject face down on street,Referred to Other Agency - San Diego Fire Department,t,May-24
Burglary,Spanos Athletic Performance Center,5/9/24,3:00 PM - 1:45 PM,Unknown suspect forced entry into a locked shed and stole a medical kit valued at $150.00,Report Taken,f,May-24
Grand Theft - Micro Mobility Device,Seventh College East,5/9/24,10:00 PM - 4:00 PM,"Secured electric scooter stolen, loss $2,000.00",Report Taken,f,May-24
Information,Genesee Avenue,5/9/24,4:42 PM,"Reporting party advising daughter in Ontario, Canada and wants to hurt herself",Logged Event,t,May-24
Suspicious Person,Price Center East,5/9/24,5:07 PM,Non-Affiliate in study room playing loud music,Will Cooperate,f,May-24
Medical Aid,Powell - Focht Bioengineering Hall,5/9/24,5:48 PM,"Reporting party having shortness of breath, requesting medical advice",Logged Event,f,May-24
Non Injury Collision,Parking Lot P359,5/9/24,Unknown,Reporting party blocking roadway,Report Taken,f,May-24
Found Property,Housing and Dining Hospitality,5/9/24,9:53 PM,Found Pallet,Service Provided,f,May-24
Citizen Flagdown,Price Center West - The Trove,5/9/24,10:12 PM,Report of a group of students putting posters up at Matthews Quad for SJP,Service Provided,t,May-24
Alcohol Contact,Seventh College East #1,3/1/24,1:54 AM,"Original call for noise, loud yelling coming from apartment below",Referred to Student Conduct,f,Mar-24
Disturbance,Trolley - Central Campus Station,3/1/24,3:55 AM,Male yelling,Field Interview,f,Mar-24
Welfare Check,Mesa Verde Hall,3/1/24,5:46 AM,Intoxicated female,Checks OK,f,Mar-24
Welfare Check,Birch Aquarium,3/1/24,7:21 AM,Subject dancing and talking to himself,Field Interview,t,Mar-24
Incomplete/Accidental Wireless 911 Call,Village La Jolla Drive,3/1/24,7:44 AM,"Open Line, female crying",Logged Event,t,Mar-24
Drug Law Violation/ Probation Violation,Actri,3/1/24,8:04 AM,Non-affiliate male contacted after receiving a report of a male dancing and mumbling in front of location,Closed By Adult Arrest,t,Mar-24
Drunk in Public,Gilman Parking,3/1/24,8:48 AM,Subject passed out on southside of structure,Report Taken,f,Mar-24
Grand Theft,Jacobs Hall,3/1/24,9:38 AM,Victim reported his backpack stolen outside of Jacobs hall,Unfounded,f,Mar-24
Petty Theft,Oceanview Terrace,3/1/24,5:52 AM - 11:00 AM,"Unknown subject took insulation from location, loss $379.00",Report Taken,t,Mar-24
Burglary,School of Medicine,3/1/24,3:00 PM - 9:30 AM,"Unknown suspect(s) entered building by unknown means and computers, loss $2920.89",Report Taken,f,Mar-24
Vandalism/ Weapons Law Violation,Scholars Parking,3/1/24,10:46 AM,"Male suspect became upset over a parking space taken by victim and intentionally scratched victim's vehicle with a knife and also damaged tail light, cost of damage $1,500.00",Closed By Adult Arrest,t,Mar-24
Traffic Hazard,Interstate 5 Southbound/ Genesee Avenue,3/1/24,1:01 PM,Boulder in roadway,Referred to Other Agency - California Highway Patrol,t,Mar-24
Reckless Driving,Interstate 5/ State Route 56,3/1/24,2:09 PM,Female caller reporting road rage incident,Referred to Other Agency - California Highway Patrol,f,Mar-24
Campus Security Authority Report,Downtown San Diego,3/1/24,Unknown,"Report of Preuss student assaulted in Downtown San Diego, already reported to San Diego",Information Only,t,Mar-24
Welfare Check,Cognitive Sciences Building,3/1/24,4:03 PM,Reporting party requesting Triton CORE,Referred to Other UCSD Department - Triton CORE,f,Mar-24
"Disturbance, Psych Subject",Center Hall,3/1/24,4:48 PM,"Possible unhoused male, pointing a stick and whispering threats to himself and passersby",Unable to Locate,t,Mar-24
Battery: Aggravated Assault/ Obstruct or Resist Public Officer/ Theft of Postal Service Property,Trolley - Central Campus Station,3/1/24,6:31 PM,UCSD Police called out to assist with a male detained for assaulting two MTS Transit Officers and seriously injuring one,Closed By Adult Arrest,t,Mar-24
Use Restricted Access Facility,Tdlln - Podemos,3/1/24,9:11 PM,Non-affiliate male contacted after he called into dispatch via an elevator emergency phone and stated he wanted to access the top floor of building,"Closed By Citation, Adult",t,Mar-24
Stay Away Order Issuance,Africa Hall,3/1/24,10:39 PM,Non-Affiliate found sleeping inside nearby classroom,Report Taken,t,Mar-24
Drug Impound,Meteor Hall,3/1/24,10:53 PM,Reporting party found small baggie possibly containing a controlled substance,Report Taken,f,Mar-24
Assault,UCSD Medical Center - Hillcrest,3/1/24,10:50 PM,Patient caused a disturbance and attempted to assault a staff member,Information Only,f,Mar-24
Noise Disturbance,Seventh College East,3/10/24,12:40 AM,Group of subjects yelling outside building,Will Cooperate,f,Mar-24
Noise Disturbance,Stewart Hall,3/10/24,1:02 AM,Music and chanting,Referred to Student Conduct,f,Mar-24
Outside Agency Warrant Arrest - Felony,Thurgood Marshall Res Hall V,3/10/24,1:03 AM,Non-affiliate male contacted following a report of a suspicious person walking through residential areas,Closed by Adult Arrest,f,Mar-24
Noise Disturbance,Tapestry,3/10/24,1:15 AM,Loud voices and music,Referred to Student Conduct,f,Mar-24
Fire Alarm,Tapestry,3/10/24,4:13 AM,Burnt food,Referred to Other Agency - San Diego Fire Department,f,Mar-24
Information,Liontree Arena - RIMAC,3/10/24,8:35 AM,"Second hand information, reporting party was told earlier there was a subject who was rambling and yelling at passersby",Information Only,t,Mar-24
Welfare Check,Voigt Drive/ Hopkins Drive,3/10/24,10:39 AM,Concerns regarding a subject sitting down on the sidewalk,Verbal Warning Issued,f,Mar-24
Recovered Stolen Vehicle,"W. Kalmia Street, San Diego, CA",3/10/24,5:58 PM,Victim recovered previously reported stolen e-scooter after tracking it via AirTag,Service Provided,f,Mar-24
Petty Theft - Micro Mobility Device,Sally T. Wongavery Library,3/10/24,12:30 PM - 4:00 PM,"Secured electric scooter stolen, loss $320.00",Report Taken,f,Mar-24
Information,Scripps Memorial Hospital,3/10/24,9:50 PM,Older adult female claiming she is being held against her will,Checks OK,t,Mar-24
Petty Theft - Micro Mobility Device,Trolley - Central Campus Station,3/10/24,10:13 PM,"Male non-affiliate suspect contacted and found in possession of two stolen e-scooters, following a report of a male under stairs trying to take scooters","Closed By Citation, Adult",t,Mar-24
Petty Theft,Conrad Prebys Music Center,3/10/24,6:00 PM - 10:15 PM,"Secured bicycle stolen, loss $168.00",Report Taken,f,Mar-24
Domestic Violence Assault,UCSD Residential Area,3/10/24,1:00 AM - 1:08 AM,Victim alleged they were physically assaulted and strangled by dating partner,Report Taken,t,Mar-24
Welfare Check,Pepper Canyon Drive/Voigt Drive,3/10/24,11:08 PM,Adult male asked reporting party where to get food on campus,Unable to Locate,t,Mar-24
Noise Disturbance,Cresta,3/10/24,11:37 PM,Neighbors being too loud,Quiet On Arrival,f,Mar-24
Quiet Hours Contact,Kaleidoscope,3/11/24,1:14 AM,Four subjects on basketball courts,Will Cooperate,f,Mar-24
Gas/ Water/ Sewer Leak,Charles David Keeling Apartments,3/11/24,3:41 AM,Irrigation line broken and spraying everywhere,Referred to Other UCSD Department - Central Plant,f,Mar-24
Found Property,Mosaic,3/11/24,7:56 AM,Keys left on vehicle's trunk,Information Only,f,Mar-24
Citizen Contact,Radiology/ Thornton Pavilion,3/11/24,8:00 AM,Request for directions,Disposition Service Provided,f,Mar-24
Medical Aid,Genesee Avenue,3/11/24,9:47 AM,Medical transport,Referred to Other Agency - San Diego Fire Department,f,Mar-24
Found Property,Taco Villa,3/11/24,11:53 AM,Found luggage,Referred to Other UCSD Department - Campus Curbside,f,Mar-24
Medical Aid,Garden View Court,3/11/24,12:18 PM,Medical transport,Referred to Other Agency - San Diego Fire Department,f,Mar-24
Grand Theft,Israni Biomedical Research Facility,3/15/24,9:00 AM - 5:00 PM,"Secured bicycle stolen, loss $1,000.00",Report Taken,f,Mar-24
Welfare Check,Cala,3/11/24,12:22 PM,"Adult male, possible psych subject or under influence of drug, not making sense when talking",Referred to Other Agency - San Diego Fire Department,t,Mar-24
Medical Aid,Executive Drive,3/11/24,12:43 PM,Medical Transport,Referred to Other Agency - San Diego Fire Department,f,Mar-24
Medical Aid,Radiation Oncology Pet/Ct Center,3/11/24,1:22 PM,Patient with high heart rate,Referred t Other Agency - San Diego Fire Department,f,Mar-24
Shoplifting,Price Center West - Bookstore,3/11/24,1:25 PM,"Juvenile male suspect detained by loss prevention for theft of clothing item, loss $66.00",Referred to Other Authority - San Diego County Juvenile Court,f,Mar-24
Battery - Simple Assault,Price Center East,3/11/24,2:40 PM,Reporting party alleged he was battered by a non-affiliate adult male,Report Taken,t,Mar-24
Voluntary Psych Referral,Villa La Jolla Drive,3/11/24,4:12 PM,"Per Clinician at Outpatient Psychology Clinic, female patient in manic state",Transported to Hospital,t,Mar-24
Citizen Contact,Koman Family Outpatient Pavilion,3/11/24,5:37 PM,"Reporting party at front counter, advising he does not feel safe after encountering an old co-worker at location that had threatened the reporting party in the past",Service Provided,t,Mar-24
Illegal Camping,Torrey Pines Center South,3/11/24,5:42 PM,Second hand report of male seen camping inside restroom,Unable to Locate,t,Mar-24
Petty Theft - Micro Mobility Device,Franklin Antonio Hall,3/11/24,12:00 PM - 6:20 PM,"Secured electric scooter stolen, loss $300.00",Report Taken,f,Mar-24
Outside Agency Arrest Warrant - Misdemeanor,UTC Trolley Stop,3/11/24,7:58 PM,Non-affiliate male contacted during enforcement detail and found to have an outstanding arrest warrant,Closed By Adult Arrest,t,Mar-24
Suspicious Person,Meteor Hall,3/11/24,8:45 PM,Possible bike caser between Podemos and Meteor,Unable to Locate,f,Mar-24
Petty Theft,Argo Hall,3/12/24,4:45 PM,"Secured bicycle stolen, loss $200.00",Unable to Locate,f,Mar-24
Noise Disturbance,Cala,3/12/24,12:08 AM,Loud music,Unable to Locate,f,Mar-24
Medical Aid,Frankfurter Hall,3/12/24,12:41 AM,Subject having abdominal pain,Referred to Other Agency - San Diego Fire Department,f,Mar-24
Found Property,Exchange,3/12/24,12:48 AM,Found suitcase and laundry bad,Service Provided,f,Mar-24
Noise Disturbance,Tioga Hall,3/12/24,1:03 AM,Group playing basketball,Unable to Locate,f,Mar-24
Fire Alarm Trouble,TDLLN - Podemos,3/12/24,6:02 AM,"Student's smoke detector inside suite going off and on in absence of smoke or fire, chronic issue",Referred to Other UCSD Department - Housing Maintenance,f,Mar-24
Welfare Check,Preuss School,3/12/24,8:27 AM,"Unknown adult male in school parking lot, appears unstable, talking to self and rambling",Service Provided,t,Mar-24
Burglary,Extended Studies A,3/12/24,8:30 PM - 8:47 AM,"Unknown suspect(s) forced entry into building and stole miscellaneous items from several locked offices, total loss $246.00",Disposition False Alarm,f,Mar-24
Citizen Contact,Pacific Beach,3/12/24,9:16 AM,Lost phone on Lyft,Service Provided,f,Mar-24
Campus Security Authority Report,UCSD Residential Area,3/12/24,9:20 AM,Complainant reported being digitally penetrated without consent,Referred to Other UCSD Department - Office for the Prevention of Harassment & Discrimination,t,Mar-24
Disturbance,Geisel Library,3/12/24,9:51 AM,Reporting party upset other party is not allowing him to set up table,Service Provided,t,Mar-24
Welfare Check,Price Center East,3/12/24,11:02 AM,Via 911; young adult female vomiting,Referred to Other Agency - San Diego Fire Department,f,Mar-24
Petty Theft - Bicycle,Argo Hall,3/12/24,4:45 AM,"Secured bicycle stolen, loss $200.00",Online Report,f,Mar-24
Possession of Drugs,Student Services Center,3/12/24,12:43 PM,Report of someone possibly doing drugs inside men's restroom,Checks OK,t,Mar-24
Petty Theft - Micro Mobility Device,Lyman Lane,3/12/24,3:25 PM - 7:25 PM,"Secured electric scooter stolen, loss $350.00",Online Report,f,Mar-24
Citizen Contact,UCSD Police Department,3/12/24,2:18 PM,Property pick-up,Service Provided,f,Mar-24
Suspicious Vehicle,Mesa Canyon Parking Structure,3/12/24,5:21 PM,Report of vehicle parked in spot for six weeks,Checks OK,t,Mar-24
Use of Restricted Access Facility,Halicioglu Data Science Institute,3/12/24,5:20 PM - 7:05 PM,"Report of non-affiliate squatting inside building, on going problem",Citation Issued,t,Mar-24
Welfare Check,Catalyst,3/12/24,8:47 PM,Parent unable to get into contact with student,Checks OK,f,Mar-24
Discharging a Firearm,Regents Road,3/12/24,9:39 PM,Via 911; report of gun shots heard on Executive Drive,Referred to Other Agency - San Diego Police Department,f,Mar-24
Marijuana Contact,Africa Hall,3/12/24,9:55 PM,Odor of marijuana,Referred to Student Conduct,f,Mar-24
Suspicious Person,Discovery Hall,3/12/24,9:59 PM,Male asking females if they are interested in him and making them feel uncomfortable,Unable to Locate,t,Mar-24
Suspicious Person,"One Miramar Street, Building 2",3/12/24,10:04 PM,Non-Affiliate inside laundry room,Checks OK,f,Mar-24
Theft from Motor Vehicle / Fraudulent use of Credit Card,"One Miramar Street, Parking Garage",3/12/24,5:00 PM - 8:42 PM,"Unknown suspect(s) stole several items from victim's unlocked vehicle, including victim's credit and debit cards, and later fraudulently used victim's cards at multiple stores, loss $472.05",Report Taken,t,Mar-24
Welfare Check,Mandell Weiss Forum,3/12/24,11:13 PM,Student injected too much insulin and is experiencing low blood sugar,Checks OK,t,Mar-24
Noise Disturbance,Tapestry,3/12/24,11:19 PM,Someone playing on drum set,Referred to Student Conduct,f,Mar-24
Drunk in Public,Canyon Vista,3/12/24,11:58 PM,Unknown subject attempted to climb off the ledge of building,Gone On Arrival,t,Mar-24
Fire Alarm,Campus Point Drive,3/13/24,12:47 AM,No signs o smoke or fire,Referred to Other Agency - San Diego Fire Department,f,Mar-24
Illegal Camping,Gilman Parking,3/13/24,1:14 AM,Subject illegally lodging inside elevator,Will Cooperate,t,Mar-24
Suspicious Person,Warren Field,3/13/24,1:22 AM,Adult male pushing a bike,Field Interview,f,Mar-24
Petty Theft - Micro Mobility Device,Center Hall,3/13/24,9:05 PM - 9:50 PM,"Unsecured electric scooter stolen, loss $400.00",Report Taken,f,Mar-24
Stay Away Order Issuance,Hopkins Parking,3/13/24,1:14 PM - 2:04 PM,"Original call for welfare check of a non-affiliate adult male walking into office and asking for help, but not being specific",Report Taken,t,Mar-24
Information,Peterson Hall,3/17/24,4:01 AM,"Interior and exterior doors open, request for them to be locked",Referred to Other UCSD Department - Central Plant,f,Mar-24
Campus Security Authority Report,UC San Diego,3/13/24,9:30 AM,Complainant reports sexual content being utilized in communications course,Referred to Other UCSD Department - Office for the Prevention of Harassment & Discrimination,t,Mar-24
Stay Away Order Issuance,Mesa Child Development Center,3/13/24,4:10 PM,Report of a male subject who attempted to climb the fence,Report Taken,f,Mar-24
Medical Aid,Moores Cancer Center,3/13/24,6:06 PM,Medical transport,Referred to Other Agency - San Diego Fire Department,f,Mar-24
Drunk in Public,Canyonview Aquatic & Climbing Wall Facility,3/13/24,8:41 PM,Female stumbling around and mumbling,Unable to Locate,t,Mar-24
Disturbance - Psych Subject,Thornton Pavilion,3/13/24,9:39 PM,"Patient called very confused and does not know where he is, advised he felt unsafe",Referred to Other UCSD Department - Thornton Hospital Staff,t,Mar-24
Suspicious Circumstances,Pepper Canyon Hall,3/13/24,9:41 PM,Subjects with face covered,Gone On Arrival,f,Mar-24
Noise Disturbance,Tioga Hall,3/13/24,11:56 PM,Loud talking and stomping,Referred to Student Conduct,f,Mar-24
Threats,UCSD Medical Center - Hillcrest,3/13/24,3:15 PM,Visitor made verbal threats against patient,Hospital Security Report Taken,f,Mar-24
Noise Disturbance,Charles David Keeling Apartments,3/14/24,12:55 AM,Loud talking,Referred to Student Conduct,f,Mar-24
Suspicious Circumstances,Gilman Drive/ I-5 Overpass Bridge,3/14/24,3:13 AM - 3:50 AM,Two abandoned bikes found after a report of a male on a bike and carrying another bike,Report Taken,t,Mar-24
Welfare Check,Gilman Drive,3/14/24,3:43 AM,Male slumped over,Checks OK,f,Mar-24
Missing Vehicle,Costa Verde Blvd,3/14/24,5:52 AM,Via 911; caller requesting information regarding whereabouts of impounded vehicle,Service Provided,f,Mar-24
Vandalism,Brisa,3/14/24,2:00 PM - 7:49 PM,"Unknown suspect(s) used an unknown tool to carve ""Free Palestine"" and ""MH2024"" into newly constructed concrete sidewalk, cost of damage $1,625.00",Report Taken,t,Mar-24
Found Property,"Lucent Way, Chula Vista, CA",3/14/24,8:37 AM,Via 911 cellular call; report of found shotgun shells,Referred to Other Agency - Chula Vista Police Department,f,Mar-24
Citizen Contact,UCSD Police Department,3/14/24,8:44 AM,Regarding workplace harassment,Service Provided,f,Mar-24
Medical Aid,Thornton Pavilion,3/14/24,9:06 AM,Medical transport,Referred to Other Agency - San Diego Fire Department,f,Mar-24
Motor Vehicle Theft,Mesa Canyon Parking Structure,3/14/24,5:00 PM - 9:26 AM,Unknown suspect(s) took victim's motorcycle without consent of owner,Report Taken,t,Mar-24
Injury,Applied Physics & Mathematics,3/14/24,11:07 AM - 11:42 AM,"Female fainted and fell to the floor, lost consciousness and possibly hit head",Transported to Hospital,t,Mar-24
Outside Agency Arrest Warrant - Felony,Trolley - La Jolla Health Station,3/14/24,1:00 PM,"Male and female contacted for camping inside restroom, both arrested for outstanding warrants",Closed By Adult Arrest,t,Mar-24
Medical Aid,Geisel Library,3/14/24,1:09 PM,Adult female convulsing,Service Provided,t,Mar-24
Burglary,North Torrey Pines Court - Triple V Office,3/14/24,11:13 PM - 11:17 PM,"Unknown suspect(s) forced entry into location and stole a camera, loss $3,589.15",Report Taken,t,Mar-24
Petty Theft - Motor Vehicle Theft,Warren Lecture Hall,3/14/24,8:00 PM - 10:10 AM,"Unsecured electric scooter stolen, loss $900.00",Online Report,f,Mar-24
Welfare Check,UCSD Residential Area,3/14/24,2:37 PM,Student expressed suicidal ideations to reporting party,Referred to Other UCSD Department - Triton CORE,f,Mar-24
Petty Theft,Charles David Keeling Apartments,3/14/24,7:00 PM - 2:45 PM,"Secured bicycle stolen, loss $355.00",Report Taken,f,Mar-24
Report - Non Crime,Bates Hall,3/14/24,6:53 PM,Unknown person threw oranges into reporting party's common area,Referred to Other UCSD Department - Residential Advisor,t,Mar-24
Suspicious Person,Trolley - Central Campus Station,3/14/24,7:00 PM,Two subjects loitering around trolley and Matthews Apartments,Gone on Arrival,f,Mar-24
Person Down,Marine Conservation and Technology Facility,3/14/24,7:42 PM,Report of male who appeared unconscious,Unable to Locate,f,Mar-24
Information,Geisel Library,3/14/24,8:27 PM,Young adult male with a toy squirt gun making reporting party uncomfortable,Information Only,t,Mar-24
Welfare Check,Nobel Drive,3/14/24,11:01 PM,"Student had argument with parents, possibly attempted suicide",Referred to Other Agency - San Diego Police Department,t,Mar-24
Annoying/ Harassing Phone Call,Library Walk,3/14/24,11:13 PM,Reporting party received unsolicited nude photo via Instagram from known male,Service Provided,t,Mar-24
Medical Aid,Thurgood Marshall Res Hall V,3/15/24,3:52 AM,Young adult male complaining of stomach pain,Checks OK,f,Mar-24
Disturbance - Party,North America Hall,3/15/24,4:19 AM,Loud party in common area of suite,Referred to Student Conduct,f,Mar-24
Indecent Exposure,Parking Lot P401,3/15/24,4:36 AM,Male seen urinating in public,Unable to Locate,t,Mar-24
Welfare Check,Visual Arts Facility - Building 1,3/15/24,10:50 AM,"Report of male in green scrubs with a wristband, possible psych patient",Checks OK,t,Mar-24
Petty Theft - Micro Mobility Device,Pines Restaurant,3/15/24,11:27 AM,"Secured electric scooter stolen, loss $370.00",Report Taken,f,Mar-24
Welfare Check,Villa La Jolla Drive,3/15/24,1:08 PM,Adult male laying near sidewalk,Referred to Other Agency - San Diego Fire Department,f,Mar-24
Stolen Vehicle,Ola Parking,3/15/24,9:05 PM - 1:00 PM,"Unknown suspect(s) took victim's motorcycle by unknown means, without owner's consent",Report Taken,t,Mar-24
Welfare Check,Thurgood Marshall Res Hall O,3/15/24,5:12 PM,"Reporting party states their friend has not gone to class all week, hasn't left residence",Checks OK,t,Mar-24
Welfare Check,Epstein Family Amphitheater,3/15/24,5:34 PM,"Older adult male wandering around, pushing a trash can and  making non-sensical statements",Service Provided,t,Mar-24
Noise Disturbance,Charles David Keeling Apartments 1,3/15/24,12:12 AM,Loud group outside of building near courtyard,Referred to Student Conduct,f,Mar-24
Noise Disturbance,Tuolumne Apartments,3/15/24,12:39 AM,Loud talking in kitchen area,Referred to Student Conduct,f,Mar-24
Tamper with Vehicle/ Possess Burglary Tools/ University Curfew Violation,Price Center West - The Trove,3/15/24,12:48 AM,Non-affiliate male contacted after a report of a possible bike caser,"Closed By Citation, Adult",f,Mar-24
Marijuana Contact,Mesa Verde Hall,3/15/24,1:38 AM,Complaint for odor of marijuana and alcohol use coming from apartment,Gone On Arrival,f,Mar-24
Suspicious Vehicle,One Miramar Parking Structure,3/15/24,10:25 AM,"Officer located a non-plated motorcycle with ""shaved"" off vin parked in a non-designated motorcycle parking zone",Vehicle Impound,t,Mar-24
Suspicious Vehicle,Parking Lot P357,3/15/24,10:47 AM,"Per parking, parked vehicle with no license plates and vice intentionally covered by multiple sheets of paper",Vehicle Impound,t,Mar-24
Drunk in Public,Preuss School - Building F,3/15/24,12:06 PM,"Per Vice Principal, received 2nd hand report of an intoxicated male juvenile",Referred to Other UCSD Department - Preuss School,t,Mar-24
Mental Health Detention,The Campus at 8950 Villa la Jolla Drive,3/15/24,2:03 PM,Female student admitted to cutting self and having suicidal ideations,Transported to Hospital,t,Mar-24
Citizen Assist,UC San Diego,3/15/24,4:20 PM,"Caller advising they are assisting female who lost her vehicle, not requesting assistance, provided vehicle information in case officers locate vehicle",Information Only,t,Mar-24
Found Property,Boston Avenue,3/15/24,5:20 PM,UCSD key card and drivers license found,Service Provided,f,Mar-24
Threaten Crime with Intent to Terrorize,Geisel Library,3/15/24,6:08 PM,Non-affiliate male made statement of possibly being in possession of gun when asked to leave and escorted out of location by security,Report Taken,t,Mar-24
Welfare Check,"Housing, Dining & Hospitality Services",3/15/24,6:40 PM,"Adult female dressed in all black and talking to self, blocking sidewalk with pull cart",Checks OK,t,Mar-24
Medical Aid,Tenaya Hall,3/15/24,7:50 PM,Housing Assistant received call from unknown female saying they were having a seizure before line disconnecting,Transported to Hospital,t,Mar-24
Suspicious Vehicle,Design & Innovation Building,3/15/24,9:12 PM,"School bus between location and SME Building, unknown if occupied",Checks OK,f,Mar-24
Fire Alarm,Mosaic,3/15/24,9:42 PM,No smoke or fire seen,Referred to Other UCSD Department - Housing Maintenance,f,Mar-24
Found Property,Campus Curbside Pickup - Gilman Parking Structure,3/15/24,10:18 PM,Necklace,Information Only,f,Mar-24
Vandalism,Mandeville Center,3/15/24,10:24 PM,"Graffiti on wall inside handicap bathroom stall, cost of damage $150.00",Report Taken,f,Mar-24
UC Policy Violation,Robert Paine Scripps Forum,3/15/24,10:55 PM,Bond fire,Checks OK,f,Mar-24
Camping on Campus,Parking Lot P386,3/15/24,11:00 PM,Non-affiliate male sleeping inside vehicle,Checks OK,t,Mar-24
Medical Aid,La Jolla Family House,3/16/24,7:49 AM,Female fell in bathroom and cannot get up,Transported to Hospital,t,Mar-24
Petty Theft,Discovery Way,3/16/24,7:50 AM,"Unsecured bicycle stolen, loss $200.00",Report Taken,f,Mar-24
Outside Agency Warrant Arrest/ Grand Theft / Obstruct Police Officer,Mesa Apartments Central,3/16/24,8:54 AM,Officer responded to a report of a bike theft in progress and contacted a male actively attempting to cut the lock of an electric scooter,Closed by Adult Arrest,t,Mar-24
Shoplifting,Price Center West - Target,3/16/24,9:05 AM - 9:12 AM,"Unknown suspect entered business and took $153.10 worth of merchandise and concealed items inside duffle bag, exited building passing all points of sale",Report Taken,t,Mar-24
Disturbance,Russell Ln/ Rupertus Walk,3/16/24,11:09 AM,Subject yelling at passersby,Disposition Gone On Arrival,f,Mar-24
Welfare Check,Geisel Library,3/16/24,11:54 AM,"Adult male entered library and was yelling at patrons and making non-sensical statements, possible psych subject",Unable to Locate,t,Mar-24
Welfare Check,Gilman Drive/ Russell Ln,3/16/24,12:05 PM,Possibly intoxicated non-affiliate male yelling to himself,Field Interview,t,Mar-24
